,0
0,78
1,38
2,57
3,40
4,44
5,65
6,68
7,130
8,77
9,56
10,61
11,55
12,62
13,49
14,101
15,107
16,138
17,57
18,58
19,60
20,76
21,101
22,69
23,178
24,146
25,69
26,83
27,66
28,52
29,50
30,97
31,63
32,92
33,135
34,62
35,112
36,114
37,108
38,91
39,69
40,44
41,72
42,87
43,91
44,105
45,80
46,69
47,84
48,97
49,88
50,104
51,87
52,112
53,105
54,148
55,90
56,116
57,136
58,90
59,100
60,134
61,218
62,233
63,132
64,120
65,130
66,148
67,165
68,132
69,194
70,146
71,166
72,179
73,245
74,149
75,208
76,279
77,221
78,275
79,345
80,372
81,284
82,336
83,300
84,600
85,600
86,600
87,600
88,600
89,600
90,600
91,600
92,600
93,600
94,600
95,600
96,600
97,600
98,600
99,600
100,600
101,600
102,600
103,600
104,600
105,600
106,600
107,600
108,600
109,600
110,600
111,600
112,600
113,600
114,600
115,600
116,600
117,600
118,600
119,600
120,600
121,600
122,600
123,600
124,600
125,600
126,600
127,600
128,600
129,600
130,600
131,600
132,600
133,331
134,431
135,600
136,600
137,600
138,600
139,389
140,600
141,413
142,389
143,141
144,227
145,274
146,192
147,463
148,600
149,600
150,600
151,600
152,254
153,224
154,385
155,600
156,600
157,600
158,600
159,600
160,454
161,600
162,373
163,600
164,600
165,600
166,600
167,245
168,600
169,600
170,600
171,600
172,600
173,600
174,600
175,600
176,600
177,600
178,600
179,600
180,600
181,600
182,600
183,600
184,600
185,600
186,600
187,442
188,600
189,600
190,600
191,600
192,600
193,600
194,600
195,600
196,600
197,600
198,600
199,600
200,600
201,204
202,600
203,600
204,600
205,600
206,600
207,600
208,514
209,254
210,379
211,600
212,600
213,267
214,600
215,600
216,600
217,600
218,600
219,600
220,600
221,600
222,600
223,600
224,600
225,600
226,600
227,600
228,600
229,600
230,600
231,600
232,600
233,600
234,600
235,192
236,600
237,496
238,243
239,600
240,219
241,600
242,295
243,600
244,600
245,600
246,600
247,558
248,234
249,193
250,161
251,136
252,185
253,87
254,142
255,152
256,153
257,87
258,86
259,77
260,78
261,77
262,70
263,70
264,68
265,62
266,56
267,51
268,47
269,44
270,39
271,44
272,36
273,36
274,39
275,37
276,34
277,33
278,37
279,33
280,31
281,33
282,32
283,31
284,32
285,33
286,32
287,35
288,37
289,37
290,38
291,36
292,35
293,35
294,36
295,41
296,41
297,39
298,39
299,48
300,47
301,50
302,47
303,47
304,46
305,52
306,50
307,46
308,41
309,39
310,41
311,41
312,41
313,41
314,40
315,42
316,42
317,41
318,41
319,44
320,43
321,54
322,53
323,48
324,45
325,46
326,41
327,42
328,46
329,42
330,39
331,38
332,38
333,45
334,60
335,62
336,60
337,51
338,42
339,40
340,41
341,47
342,53
343,59
344,53
345,47
346,42
347,43
348,46
349,47
350,47
351,46
352,59
353,58
354,55
355,56
356,53
357,56
358,463
359,600
360,247
361,120
362,144
363,71
364,67
365,80
366,600
367,74
368,559
369,600
370,220
371,57
372,145
373,58
374,67
375,69
376,52
377,65
378,62
379,54
380,51
381,53
382,52
383,49
384,51
385,44
386,39
387,37
388,34
389,37
390,39
391,42
392,40
393,36
394,35
395,43
396,41
397,38
398,40
399,41
400,55
401,55
402,50
403,43
404,41
405,36
406,44
407,42
408,40
409,38
410,40
411,39
412,36
413,39
414,37
415,40
416,36
417,35
418,36
419,35
420,42
421,36
422,36
423,36
424,42
425,38
426,38
427,33
428,36
429,40
430,43
431,41
432,38
433,37
434,36
435,41
436,38
437,40
438,38
439,37
440,37
441,41
442,35
443,34
444,36
445,35
446,36
447,40
448,39
449,40
450,38
451,35
452,37
453,46
454,43
455,37
456,40
457,50
458,43
459,40
460,39
461,41
462,38
463,37
464,39
465,42
466,40
467,45
468,47
469,40
470,35
471,35
472,40
473,41
474,36
475,38
476,41
477,38
478,36
479,35
480,37
481,38
482,37
483,42
484,41
485,46
486,39
487,36
488,39
489,41
490,49
491,49
492,47
493,43
494,46
495,117
496,52
497,125
498,133
499,83
500,82
501,110
502,133
503,101
504,74
505,111
506,112
507,118
508,95
509,110
510,123
511,73
512,74
513,135
514,121
515,83
516,71
517,84
518,81
519,78
520,162
521,165
522,110
523,108
524,149
525,169
526,96
527,152
528,158
529,176
530,208
531,100
532,148
533,140
534,187
535,161
536,101
537,149
538,111
539,158
540,182
541,104
542,89
543,91
544,160
545,148
546,162
547,95
548,226
549,94
550,155
551,97
552,97
553,154
554,93
555,151
556,81
557,103
558,110
559,172
560,145
561,156
562,105
563,161
564,161
565,102
566,152
567,99
568,85
569,85
570,153
571,102
572,90
573,158
574,206
575,92
576,83
577,164
578,100
579,97
580,111
581,92
582,91
583,94
584,90
585,106
586,92
587,107
588,183
589,177
590,100
591,113
592,100
593,257
594,108
595,106
596,91
597,209
598,211
599,235
600,116
601,241
602,111
603,96
604,96
605,239
606,239
607,225
608,112
609,100
610,100
611,288
612,97
613,97
614,103
615,104
616,102
617,110
618,111
619,92
620,94
621,100
622,94
623,105
624,218
625,97
626,87
627,89
628,93
629,89
630,92
631,112
632,87
633,106
634,196
635,109
636,89
637,88
638,90
639,82
640,94
641,86
642,97
643,94
644,88
645,92
646,89
647,90
648,92
649,89
650,81
651,147
652,79
653,81
654,122
655,72
656,71
657,82
658,73
659,116
660,68
661,65
662,67
663,63
664,61
665,65
666,63
667,107
668,106
669,60
670,64
671,59
672,58
673,60
674,62
675,64
676,64
677,58
678,66
679,100
680,60
681,59
682,61
683,56
684,58
685,54
686,58
687,59
688,102
689,101
690,102
691,63
692,59
693,96
694,97
695,91
696,97
697,94
698,96
699,108
700,89
701,53
702,52
703,56
704,51
705,55
706,52
707,49
708,49
709,51
710,51
711,57
712,86
713,51
714,50
715,49
716,50
717,49
718,49
719,50
720,50
721,52
722,51
723,51
724,50
725,88
726,50
727,50
728,52
729,49
730,86
731,52
732,50
733,50
734,50
735,50
736,86
737,86
738,93
739,50
740,49
741,50
742,49
743,84
744,54
745,84
746,87
747,53
748,85
749,52
750,88
751,53
752,57
753,89
754,48
755,48
756,50
757,49
758,51
759,86
760,54
761,84
762,78
763,82
764,47
765,47
766,47
767,48
768,48
769,51
770,49
771,47
772,83
773,82
774,86
775,87
776,48
777,81
778,86
779,89
780,88
781,88
782,88
783,89
784,87
785,79
786,87
787,109
788,119
789,65
790,88
791,91
792,54
793,45
794,47
795,50
796,84
797,53
798,47
799,46
800,48
801,46
802,53
803,51
804,47
805,47
806,50
807,50
808,48
809,53
810,49
811,47
812,88
813,99
814,42
815,44
816,50
817,48
818,45
819,46
820,46
821,41
822,48
823,45
824,45
825,44
826,45
827,50
828,46
829,49
830,45
831,49
832,47
833,44
834,47
835,47
836,50
837,49
838,42
839,68
840,71
841,43
842,41
843,47
844,48
845,44
846,46
847,46
848,42
849,49
850,45
851,43
852,44
853,41
854,78
855,74
856,77
857,46
858,41
859,48
860,45
861,49
862,45
863,87
864,41
865,82
866,44
867,45
868,50
869,43
870,45
871,44
872,43
873,43
874,49
875,44
876,40
877,81
878,44
879,43
880,48
881,82
882,82
883,82
884,45
885,42
886,42
887,92
888,46
889,42
890,44
891,46
892,80
893,48
894,43
895,71
896,67
897,83
898,43
899,65
900,61
901,63
902,69
903,44
904,44
905,67
906,42
907,44
908,46
909,62
910,68
911,70
912,85
913,72
914,47
915,41
916,49
