,0
0,146
1,52
2,30
3,78
4,100
5,92
6,38
7,120
8,63
9,70
10,48
11,64
12,46
13,69
14,49
15,116
16,83
17,60
18,51
19,46
20,38
21,66
22,48
23,51
24,63
25,74
26,78
27,105
28,49
29,71
30,83
31,140
32,99
33,55
34,77
35,62
36,70
37,110
38,57
39,43
40,5
41,101
42,70
43,77
44,55
45,84
46,74
47,58
48,69
49,110
50,53
51,63
52,153
53,117
54,95
55,89
56,121
57,93
58,106
59,65
60,94
61,130
62,104
63,95
64,117
65,134
66,113
67,120
68,149
69,151
70,127
71,158
72,250
73,181
74,197
75,199
76,272
77,216
78,244
79,230
80,251
81,500
82,231
83,293
84,306
85,283
86,500
87,500
88,500
89,500
90,500
91,500
92,500
93,500
94,500
95,500
96,500
97,500
98,500
99,500
100,500
101,500
102,500
103,500
104,500
105,500
106,500
107,500
108,500
109,500
110,500
111,500
112,500
113,500
114,500
115,500
116,500
117,500
118,500
119,500
120,500
121,344
122,500
123,500
124,500
125,500
126,500
127,500
128,500
129,500
130,500
131,500
132,500
133,500
134,500
135,500
136,500
137,500
138,500
139,500
140,500
141,500
142,500
143,500
144,500
145,500
146,500
147,500
148,500
149,500
150,500
151,500
152,500
153,500
154,500
155,500
156,500
157,500
158,500
159,500
160,500
161,500
162,500
163,500
164,203
165,500
166,500
167,500
168,500
169,500
170,500
171,500
172,500
173,500
174,500
175,500
176,500
177,500
178,500
179,500
180,500
181,76
182,500
183,500
184,308
185,193
186,191
187,259
188,500
189,402
190,500
191,500
192,500
193,500
194,500
195,500
196,500
197,52
198,221
199,277
200,500
201,500
202,467
203,500
204,500
205,500
206,500
207,500
208,500
209,500
210,500
211,500
212,500
213,500
214,500
215,500
216,500
217,500
218,500
219,500
220,500
221,500
222,500
223,500
224,500
225,500
226,500
227,500
228,500
229,500
230,500
231,500
232,500
233,179
234,99
235,85
236,70
237,72
238,73
239,80
240,83
241,85
242,89
243,94
244,93
245,99
246,94
247,93
248,123
249,111
250,111
251,107
252,106
253,104
254,93
255,116
256,139
257,111
258,133
259,98
260,148
261,138
262,112
263,105
264,97
265,81
266,119
267,102
268,73
269,77
270,120
271,137
272,140
273,129
274,143
275,500
276,109
277,125
278,123
279,123
280,127
281,125
282,134
283,113
284,114
285,100
286,93
287,98
288,110
289,115
290,500
291,97
292,98
293,105
294,249
295,123
296,100
297,104
298,89
299,85
300,76
301,69
302,74
303,85
304,88
305,105
306,109
307,111
308,107
309,128
310,153
311,146
312,117
313,116
314,124
315,123
316,113
317,86
318,84
319,90
320,94
321,125
322,141
323,113
324,110
325,97
326,144
327,145
328,88
329,264
330,133
331,157
332,109
333,141
334,171
335,108
336,97
337,171
338,151
339,128
340,144
341,139
342,127
343,137
344,126
345,151
346,143
347,132
348,122
349,124
350,122
351,142
352,124
353,89
354,88
355,98
356,126
357,138
358,166
359,117
360,113
361,109
362,107
363,97
364,97
365,106
366,101
367,102
368,101
369,101
370,107
371,132
372,115
373,95
374,99
375,91
376,84
377,85
378,85
379,98
380,97
381,95
382,98
383,93
384,97
385,98
386,119
387,110
388,103
389,87
390,79
391,72
392,69
393,68
394,69
395,83
396,71
397,80
398,82
399,84
400,83
401,83
402,79
403,70
404,67
405,66
406,68
407,66
408,65
409,63
410,63
411,55
412,57
413,53
414,56
415,55
416,53
417,53
418,51
419,53
420,50
421,53
422,52
423,49
424,48
425,50
426,48
427,50
428,50
429,50
430,58
431,49
432,52
433,54
434,67
435,50
436,54
437,46
438,55
439,50
440,51
441,52
442,53
443,55
444,39
445,38
446,41
447,52
448,50
449,56
450,38
451,40
452,38
453,40
454,49
455,40
456,38
457,39
458,54
459,40
460,37
461,36
462,39
463,36
464,36
465,36
466,36
467,37
468,40
