,0
0,-1.4565743895273182
1,-1.0118750890378108
2,-0.5752665234586162
3,-1.0198377091148239
4,-1.025902073327212
5,-1.1431122351047058
6,-0.7170479779654194
7,-0.8250312394937883
8,-0.6772203530912407
9,-1.8473862250249093
10,-1.2914322595950751
11,-0.6400955756966373
12,-1.4251649268415167
13,-2.059039056487825
14,-1.5523825003292158
15,-1.626880990605382
16,-0.9865032861022839
17,-1.4856336719218226
18,-1.690074898472314
19,-1.7345308436689992
20,-1.363747609660886
21,-0.7331218012333067
22,-1.5516473641671191
23,-1.0331616803957195
24,-1.180455956230352
25,-1.3780140712324074
26,-1.3152681246039843
27,-1.6283355307672776
28,-2.4153121326368288
29,-1.4804151633605263
30,-2.3069629112725427
31,-1.7571488624820957
32,-1.3899603370490348
33,-1.0542883473210225
34,-2.303848466429004
35,-3.3084783495967716
36,-1.3427527606089098
37,-1.217360045441441
38,-2.625582047071914
39,-1.8695279175726796
40,-1.5398384521812554
41,-2.3311688366663175
42,-2.0046962534729356
43,-2.2213384241412713
44,-2.2909785873313715
45,-1.9419414495796266
46,-2.3492439274167642
47,-2.548993894201561
48,-2.4123218346067836
49,-2.6483205156619243
50,-2.2568103110848696
51,-3.1933656832520474
52,-2.6108167896640766
53,-2.4867025030787184
54,-2.4043321214164384
55,-2.1089232958418553
56,-3.0122165340901894
57,-2.8064160404172247
58,-2.910150597454548
59,-3.1548264727396647
60,-3.2783832743279446
61,-2.498976149475928
62,-2.4587662917943827
63,-3.654534671740132
64,-3.292412442873768
65,-3.81475629090428
66,-3.9686337009835775
67,-3.523515365926686
68,-4.085788137343632
69,-3.6042380772868414
70,-3.768412267387982
71,-3.2576580327586306
72,-3.991758510257987
73,-3.7106036980943604
74,-4.139031527987342
75,-3.858472476796303
76,-5.575256130997779
77,-4.776928634988481
78,-5.398038379870345
79,-5.551316605431365
80,-5.151571342637022
81,-4.938441787124981
82,-5.8600237172934815
83,-6.194379818001708
84,-3.765676615916101
85,-2.5831121051461134
86,-2.4514518469753064
87,-2.9745787644160795
88,-2.6340974058303868
89,-2.9857231704849703
90,-2.9780744873042284
91,-3.0709276868031177
92,-3.0693813641157153
93,-3.002423166949912
94,-2.9755650892871897
95,-2.781941575512684
96,-2.815108432385565
97,-3.167271691428178
98,-3.1045280361262924
99,-2.8911835615162014
100,-2.8267917652143377
101,-3.2363996287672956
102,-3.3716891042363835
103,-3.091984157172651
104,-3.984730277820216
105,-4.039289247467202
106,-3.94941852187194
107,-3.7509118471904705
108,-3.9071576581437406
109,-3.7081887596316054
110,-2.989845981294194
111,-3.1026811061016284
112,-2.618358897895093
113,-3.140118401195613
114,-3.0202142634206726
115,-2.949899708197155
116,-2.5573378860806533
117,-2.898566994803332
118,-3.2597584853572408
119,-3.257155553757065
120,-2.9717463591194493
121,-3.140343571016973
122,-2.9540005594418135
123,-3.28848501813847
124,-3.1046439228561424
125,-5.72477110712978
126,-6.23286470771427
127,-5.868137179137936
128,-5.798707555506382
129,-5.367703820833446
130,-5.265416839481909
131,-5.220462399535078
132,-6.041471091408024
133,-6.042781596734056
134,-6.157713935768665
135,-6.3246548990612865
136,-6.544339534128271
137,-6.511906612285844
138,-6.474536399369516
139,-6.4064302309936885
140,-6.517849325900818
