,0
0,-115.06937677265815
1,-39.46312847247462
2,-33.36545836059974
3,-41.81334607370778
4,-46.165593299724534
5,-75.44540751691059
6,-49.47631047961394
7,-108.07909237368627
8,-52.82318754111677
9,-105.30101482641983
10,-80.06880009489466
11,-35.84535223901169
12,-89.78539039101555
13,-102.95195282439124
14,-158.34301503358
15,-175.70314698538127
16,-137.12395676821745
17,-86.16675297146571
18,-99.71441900986652
19,-105.80638146380895
20,-105.00856594388823
21,-74.77842372579728
22,-108.61531549169834
23,-184.9359407908338
24,-173.52702556586175
25,-96.46098498626851
26,-110.4825224667347
27,-109.0984805614076
28,-128.01154302975192
29,-75.50117333138684
30,-226.08236530470919
31,-112.45752719885412
32,-129.26631134556024
33,-143.38321523565907
34,-145.14245338502727
35,-373.8580535044352
36,-154.41656747002463
37,-132.69224495311707
38,-241.55354833061608
39,-130.86695423008757
40,-69.2927303481565
41,-170.17532507664117
42,-176.41327030561834
43,-204.36313502099694
44,-242.84373025712537
45,-157.29725741594976
46,-164.4470749191735
47,-216.66448100713268
48,-236.40753979146479
49,-235.70052589391125
50,-236.9650826639113
51,-281.0161801261802
52,-295.02229723204067
53,-263.59046532634414
54,-358.2454860910493
55,-191.91201992160882
56,-352.4293344885522
57,-384.4789975371598
58,-264.82370436836385
59,-318.6374737467061
60,-442.5817420342725
61,-547.2757767352282
62,-575.3513122798855
63,-486.05311134143756
64,-398.38190558772595
65,-499.73307410846064
66,-591.326421446553
67,-584.9035507438299
68,-543.4098222667031
69,-702.8264250709341
70,-553.9566033060333
71,-544.0288914706913
72,-718.5165318464376
73,-912.8085097312127
74,-620.8547291981013
75,-806.4207476504273
76,-1561.0717166793781
77,-1060.4781569674428
78,-1489.858592844215
79,-1920.7555454792523
80,-1921.5361108036095
81,-1407.4559093306198
82,-1974.8279927279034
83,-1864.508325218514
84,-2263.1716461655765
85,-1552.4503751928141
86,-1473.3225600321591
87,-1787.7218374140637
88,-1583.0925409040624
89,-1794.4196254614671
90,-1789.8227668698412
91,-1845.6275397686736
92,-1844.698199833545
93,-1804.456323336897
94,-1788.3146186616011
95,-1671.946886883123
96,-1691.8801678637246
97,-1903.5302865483352
98,-1865.8213497119018
99,-1737.601320471237
100,-1698.901850893817
101,-1945.0761768891446
102,-2026.3851516460663
103,-1858.2824784607633
104,-2394.82289696995
105,-2427.6128377277887
106,-2373.600531645036
107,-2254.298020161473
108,-2348.201752544388
109,-2228.621444538595
110,-1796.8974347578107
111,-1864.7113447670786
112,-1573.633697634951
113,-1887.2111591185633
114,-1815.148772315824
115,-1772.88972462649
116,-1536.9600695344727
117,-1742.0387638768025
118,-1959.1148496997016
119,-1957.5504878079962
120,-1786.0195618307891
121,-1887.3464861812008
122,-1775.35433622453
123,-1976.3794959012205
124,-1865.8909976365417
125,-3440.5874353849977
126,-3745.951689336276
127,-3526.7504446618996
128,-3485.0232408593356
129,-3225.9899963209014
130,-3164.5155205286273
131,-3137.4979021205822
132,-3630.9241259362225
133,-2006.2034901157065
134,-2660.1324202520636
135,-3801.117594335833
136,-3933.1480600110913
137,-3913.6558739837924
138,-3891.1963760210792
139,-2498.5077900875385
140,-3917.2274448663916
141,-2549.9716533348856
142,-2470.9191474415875
143,-655.7797931064615
144,-1458.6919132855692
145,-1799.9194724522897
146,-1250.5466082639823
147,-3154.2063556515363
148,-4089.696036449457
149,-4085.0180766871886
150,-1592.8554797384804
151,-3334.0300323978304
152,-1391.6559344967898
153,-1267.035702080681
154,-2207.8047649856026
155,-3573.6657037115388
156,-3733.0613477247884
157,-4263.744941004823
158,-4493.619076382022
159,-3822.4051276266755
160,-2378.9438173651793
161,-2363.8842838595137
162,-1669.0965757173635
163,-3161.870829920771
164,-3044.6882295899277
165,-3019.6175947124207
166,-3104.5017885234415
167,-1006.8494911846659
168,-3291.1688364646134
169,-1709.5506281017772
170,-1781.4604418421484
171,-1370.1406471695248
172,-1732.327255236591
173,-1705.2556926280636
174,-1709.9769359382803
175,-1802.4893377978574
176,-2409.7645570479986
177,-2475.2629702097943
178,-2468.2549455203457
179,-3314.845408171095
180,-3464.172539735161
181,-3398.6012359481765
182,-3361.228137972448
183,-2826.8146446451933
184,-3547.1602153290187
185,-3116.904185282144
186,-3215.9845324059493
187,-2434.5198068313853
188,-3515.6246305455998
189,-3562.2267825791523
190,-3598.9825217271928
191,-3698.2425775774545
192,-3154.7986249757837
193,-3237.126860508752
194,-3114.92162546604
195,-3427.511110677696
196,-3392.982563304138
197,-3166.0282537193084
198,-3277.723639774055
199,-3236.069173951117
200,-3273.266840745048
201,-1068.9490153472543
202,-3603.854940650382
203,-3588.0279160410378
204,-3206.738320788808
205,-3325.0096892360098
206,-3162.4360705041395
207,-3181.446560358419
