,0
0,-101.42375473081596
1,42.93386391199827
2,-46.03681927662898
3,-49.96161368503763
4,-4.847906988777414
5,89.16511663642223
6,241.10319045320227
7,89.27729963555808
8,82.95304572756716
9,112.98677193457962
10,21.46837722180019
11,85.13680861413062
12,-36.21622621536997
13,77.82051676412972
14,-150.69808239402923
15,-53.33821137655486
16,36.95024058512125
17,25.60947305277714
18,-211.87495485501583
19,-11.496665979419902
20,88.1856283769369
21,0.837726014437445
22,-0.7196922712667222
23,45.809360417531046
24,64.66047779388624
25,92.3434450063333
26,-147.97176801340282
27,169.6072800394543
28,32.93758428155297
29,-74.20552181844582
30,104.05365185233724
31,-55.23438339800215
32,-158.6664680579271
33,153.76042743505676
34,26.292365809294225
35,24.503704634237582
36,-211.97946394500988
37,-357.43382407058715
38,-252.74619109889855
39,-86.11111520713952
40,49.006872429545275
41,-13.880495158697205
42,-168.20638322119152
43,31.09115682121073
44,18.857084648182994
45,41.62557551946907
46,81.53921204228952
47,-214.33486319650405
48,-105.05372331859127
49,59.48139223404739
50,-18.17584786236476
51,-181.1449999026219
52,-83.68997990466413
53,56.694629057738986
54,-52.41321186304789
55,-166.42365459619575
56,31.14964030464655
57,-124.59161155044436
58,-338.5216302178152
59,29.787334166878978
60,-895.0603704728978
61,-448.9817842875917
62,-420.29574967711886
63,-408.62040913875535
64,-573.0504063039407
65,-33.30335707442653
66,-1557.9405540279943
67,-1255.5370477920608
68,-1439.26850983705
69,-1479.4967947121472
70,-1480.1502597878364
71,-1467.9526488044849
72,-1582.0219755404796
73,-1605.9888813754028
74,-1638.7985311704817
75,-1691.662495763828
76,-1796.406358076991
77,-1877.7374389240467
78,-2887.5386641653363
79,-2598.7272156881677
80,-2137.4726089044384
81,-2016.134917199465
82,-2370.652667644959
83,-1888.043423760829
84,-1085.1474451636886
85,-1320.9223069747502
86,-1438.9162090337497
87,-1377.0626783017426
88,-1202.441169312068
89,-1243.9515847523342
90,-675.2502170951465
91,-1105.1770848236374
92,-878.8361386169084
93,-196.9335660295442
94,-212.83239627664864
95,-374.9424521803917
96,-2591.173451482268
97,-1440.1853449688908
98,-1652.8282866128372
99,-1655.8738587423466
100,-2574.691779412705
101,-2736.398385548834
102,-2855.4485052005257
103,-1299.6583181549474
104,-2830.9876981691523
105,-215.232957226251
106,-2680.691114729458
107,-2730.129984935745
108,-2797.716083642186
109,-2734.0273026381024
110,-2789.867364277782
111,-2752.0710200320304
112,-1606.6782752202407
113,-1482.6802583313674
114,-1801.0221363013477
115,-1363.3115156368629
116,-1804.3462911169884
117,-1799.1421321919595
118,-1886.2666843454572
119,-1334.4967058984207
120,-1606.088166277275
121,-1775.2115702068838
122,-1765.128848464223
123,-2017.4047916218126
124,-2323.111243086931
125,-2570.6756540094284
126,-2972.7991360257747
127,-2917.261733740455
128,-1566.5201370819445
129,-2434.2792308954818
130,-2926.9376539123273
131,-2906.1099605927234
132,-2613.6953390539575
133,-2635.9383310689354
134,-2883.085011318564
135,-2606.8193665926105
136,-2615.3597208230894
137,-2767.3083019745277
138,-2764.681622882421
139,-550.2517548860412
140,-569.6134423585581
141,-1364.0983653281364
142,-1359.9661015061401
143,-1356.4455599506005
144,-1364.0328670788176
145,-1349.5347801257308
146,-1362.0145899009995
147,-1357.7013052400432
148,-1357.956374615789
149,-1367.0301375306763
150,-1369.4012906304165
151,-1360.6027183648082
152,-1351.0144864042118
153,-1362.3136221834447
154,-1349.5213292277697
155,-1341.6316616252818
156,-1338.641789102561
157,-1344.4646587449179
158,-1344.4787141461582
159,-1347.4677394447174
160,-1345.778423334737
161,-1350.6985675716282
162,-1336.9926319657354
163,-1341.602021672274
164,-1333.5897220142801
165,-1343.037783384792
166,-519.5765963976431
167,-1337.1570268691387
168,-1333.4739985204835
169,-1339.002497459167
170,-1331.7514673369235
171,-1285.1331213308708
172,-1379.6803724756967
173,-1490.5876132913006
174,-142.15108898349752
175,-110.58404937540507
176,-87.47481973176369
177,-2468.2333680936235
178,-875.1590853159713
179,-1369.6365894104845
180,-807.9733141482019
181,-713.7740825704551
182,-1155.5793491430304
183,-2209.4749559925253
184,-2800.4343559467093
185,-2868.13473492932
186,-3079.016060866006
187,-2824.033020313622
188,-2760.6103220965747
189,-2737.1973182909173
190,-2774.741747190944
191,-2777.0270802429827
192,-2805.807516520439
193,-2848.047603124555
194,-2807.04599812018
195,-2797.087841007218
196,-2870.2421924444734
197,-2788.4804662666056
198,-2826.704846141167
199,-2834.593786691741
200,-2765.6631469624826
201,-2849.139125500279
202,-2984.4428150048075
203,-2851.313655808512
204,-2697.365025417722
205,-2747.5630900595975
206,-2847.3892593831083
207,-2838.2852367760065
208,-2810.4026978721463
209,-2828.173624415445
210,-2838.7570946861806
211,-2882.5637703446823
212,-2860.7416140844944
213,-2867.530851205608
214,-2711.7249661743535
215,-2811.6823363358444
216,-2765.006934086208
217,-2795.560316141743
218,-2762.562243084276
219,-2837.680685271883
220,-2810.9726522001083
221,-2693.0541796899424
222,-2732.655682131432
223,-2793.5591549938104
224,-2835.4736404102455
225,-2739.3851846845278
226,-2822.4712826632876
227,-2832.056271541657
228,-2742.018829923544
229,-2802.5174181574184
230,-2780.4994368500284
231,-2802.9393236964006
232,-2747.7755972040995
233,-2800.0074228371755
234,-2733.5114604416385
235,-2728.089533478062
236,-2741.300776770048
237,-2763.1485783172097
238,-2708.601649683078
239,-2738.279337298366
240,-2649.047416002676
241,-2724.930695870697
242,-1564.9899255201913
243,-2763.487550718259
244,-2745.5060122460895
245,-2716.5090618489144
246,-2691.376142473016
247,-2702.501468755894
248,-2714.471678156421
249,-2711.4109313990825
250,-2736.4963345358033
251,-2712.0972279709054
252,-2712.4875013167666
253,-2721.2951896362965
254,-2701.7568607491075
255,-2698.8096377929814
256,-2709.193724956929
257,-2721.1121320578222
258,-2663.7657588031498
259,-2762.446377942835
260,-2714.1153802947547
261,-2753.478780015901
262,-2747.439907269641
263,-2710.800550332358
264,-2737.8946363069535
265,-2744.142914942752
266,-2710.8974246270172
267,-2706.0372635470508
268,-2719.345724381563
